"model_ID","dataset_ref","experiment","doi","atlas"
"IPSL-CM6A-LR","ssp5_8_5/IPSL-CM6A-LR","ssp5_8_5","https://doi.org/10.22033/ESGF/CMIP6.5271",1
"EC-EARTH3","ssp5_8_5/EC-EARTH3","ssp5_8_5","https://doi.org/10.22033/ESGF/CMIP6.4912",1
"MIROC-ES2H","historical/MIROC-ES2H","historical","https://doi.org/10.22033/ESGF/CMIP6.5601",0
"CAMS-CSM1-0","historical/CAMS-CSM1-0","historical","https://doi.org/10.22033/ESGF/CMIP6.9754",1
"GISS-E2-1-G","historical/GISS-E2-1-G","historical","https://doi.org/10.22033/ESGF/CMIP6.7127",0
"GISS-E2-1-H","historical/GISS-E2-1-H","historical","https://doi.org/10.22033/ESGF/CMIP6.7128",0
"IITM-ESM","ssp3_7_0/IITM-ESM","ssp3_7_0","https://doi.org/10.22033/ESGF/CMIP6.44",1
"CAMS-CSM1-0","ssp1_1_9/CAMS-CSM1-0","ssp1_1_9","https://doi.org/10.22033/ESGF/CMIP6.11045",0
"CAMS-CSM1-0","ssp3_7_0/CAMS-CSM1-0","ssp3_7_0","https://doi.org/10.22033/ESGF/CMIP6.11048",1
"CAMS-CSM1-0","ssp1_2_6/CAMS-CSM1-0","ssp1_2_6","https://doi.org/10.22033/ESGF/CMIP6.11046",1
"IITM-ESM","ssp1_2_6/IITM-ESM","ssp1_2_6","https://doi.org/10.22033/ESGF/CMIP6.44",1
