"gcm","institution","aerosol","atmos","atmosChem","land","landIce","ocean","ocnBgchem","seaIce"
"HadGEM3-GC31-LM","MOHC","HadGEM3-GC31-LM_aerosol_UKCA-GLOMAP-mode","HadGEM3-GC31-LM_atmos_MetUM-HadGEM3-GA7.1","none","HadGEM3-GC31-LM_land_JULES-HadGEM3-GL7.1","none","HadGEM3-GC31-LM_ocean_NEMO-HadGEM3-GO6.0","none","HadGEM3-GC31-LM_seaIce_CICE-HadGEM3-GSI8_eORCA025"
"HadGEM3-GC31-MH","MOHC","HadGEM3-GC31-MH_aerosol_UKCA-GLOMAP-mode","HadGEM3-GC31-MH_atmos_MetUM-HadGEM3-GA7.1","none","HadGEM3-GC31-MH_land_JULES-HadGEM3-GL7.1","none","HadGEM3-GC31-MH_ocean_NEMO-HadGEM3-GO6.0_eORCA12","none","HadGEM3-GC31-MH_seaIce_CICE-HadGEM3-GSI8_eORCA12"
"HadGEM3-GC31-MM","MOHC","HadGEM3-GC31-MM_aerosol_UKCA-GLOMAP-mode","HadGEM3-GC31-MM_atmos_MetUM-HadGEM3-GA7.1","none","HadGEM3-GC31-MM_land_JULES-HadGEM3-GL7.1","none","HadGEM3-GC31-MM_ocean_NEMO-HadGEM3-GO6.0","none","HadGEM3-GC31-MM_seaIce_CICE-HadGEM3-GSI8_eORCA025"
"ICON-ESM-LR","MPI-M","ICON-ESM-LR_aerosol_prescribed","ICON-ESM-LR_atmos_ICON-A","none","ICON-ESM-LR_land_JSBACH4.20","ICON-ESM-LR_landIce_none_prescribed","ICON-ESM-LR_ocean_ICON-O","ICON-ESM-LR_ocnBgchem_HAMOCC","ICON-ESM-LR_seaIce_unnamed-thermodynamic"
"IITM-ESM","CCCR-IITM","IITM-ESM_aerosol_prescribed_MACv2","IITM-ESM_atmos_IITM-GFSv1","none","IITM-ESM_land_NOAH-LSMv2.7.1","none","IITM-ESM_ocean_MOM4p1","IITM-ESM_ocnBgchem_TOPAZ2.0","IITM-ESM_seaIce_SIS1.0"
"INM-CM4-8","INM","INM-CM4-8_aerosol_INM-AER1","INM-CM4-8_atmos_INM-AM4-8","none","INM-CM4-8_land_INM-LND1","none","INM-CM4-8_ocean_INM-OM5","none","INM-CM4-8_seaIce_INM-ICE1"
"INM-CM5-0","INM","INM-CM5-0_aerosol_INM-AER1","INM-CM5-0_atmos_INM-AM5-0","none","INM-CM5-0_land_INM-LND1","none","INM-CM5-0_ocean_INM-OM5","none","INM-CM5-0_seaIce_INM-ICE1"
"INM-CM5-H","INM","INM-CM5-H_aerosol_INM-AER1","INM-CM5-H_atmos_INM-AM5-H","none","INM-CM5-H_land_INM-LND1","none","INM-CM5-H_ocean_INM-OM5-H","none","INM-CM5-H_seaIce_INM-ICE1"
"IPSL-CM5A2-INCA","IPSL","IPSL-CM5A2-INCA_aerosol_INCAv6-NMHC-AER-S","IPSL-CM5A2-INCA_atmos_LMDZ","IPSL-CM5A2-INCA_atmosChem_INCAv6-NMHC-AER-S","IPSL-CM5A2-INCA_land_ORCHIDEE","none","IPSL-CM5A2-INCA_ocean_NEMO-OPA3.6-ORCA2","IPSL-CM5A2-INCA_ocnBgchem_NEMO-PISCES","IPSL-CM5A2-INCA_seaIce_NEMO-LIM2"
"IPSL-CM6A-LR","IPSL","none","IPSL-CM6A-LR_atmos_LMDZ","none","IPSL-CM6A-LR_land_ORCHIDEE2.0","none","IPSL-CM6A-LR_ocean_NEMO-OPA-eORCA1.3","IPSL-CM6A-LR_ocnBgchem_NEMO-PISCES","IPSL-CM6A-LR_seaIce_NEMO-LIM3"
"IPSL-CM6A-MR1","IPSL","none","IPSL-CM6A-MR1_atmos_LMDZ","none","IPSL-CM6A-MR1_land_ORCHIDEE2.0","none","IPSL-CM6A-MR1_ocean_NEMO-OPA-eORCA1.3","IPSL-CM6A-MR1_ocnBgchem_NEMO-PISCES","IPSL-CM6A-MR1_seaIce_NEMO-LIM3"
"KACE-1-0-G","NIMS-KMA","KACE-1-0-G_aerosol_UKCA-GLOMAP-mode","KACE-1-0-G_atmos_MetUM-HadGEM3-GA7.1","none","KACE-1-0-G_land_JULES-HadGEM3-GL7.1","none","KACE-1-0-G_ocean_MOM4p1","none","KACE-1-0-G_seaIce_CICE-HadGEM3-GSI8"
"KIOST-ESM","KIOST","none","KIOST-ESM_atmos_GFDL-AM2","KIOST-ESM_atmosChem_Simple-carbon-aerosol-model","KIOST-ESM_land_NCAR-CLM4","KIOST-ESM_landIce_NCAR-CLM4","KIOST-ESM_ocean_GFDL-MOM5.0","KIOST-ESM_ocnBgchem_TOPAZ2.0","KIOST-ESM_seaIce_GFDL-SIS"
"MCM-UA-1-0","UA","MCM-UA-1-0_aerosol_Modified-surface-albedoes","MCM-UA-1-0_atmos_R30L14","none","MCM-UA-1-0_land_Manabe","MCM-UA-1-0_landIce_Time-invariant","MCM-UA-1-0_ocean_MOM1.0","none","MCM-UA-1-0_seaIce_thermodynamic"
"MIROC-ES2H","MIROC","MIROC-ES2H_aerosol_SPRINTARS6.0","MIROC-ES2H_atmos_CCSR-AGCM","MIROC-ES2H_atmosChem_CHASER4.0","MIROC-ES2H_land_MATSIRO6.0_VISIT-e","none","MIROC-ES2H_ocean_COCO4.9","MIROC-ES2H_ocnBgchem_OECO2.0","MIROC-ES2H_seaIce_COCO4.9"
"MIROC-ES2H-NB","MIROC","MIROC-ES2H-NB_aerosol_SPRINTARS6.0","MIROC-ES2H-NB_atmos_CCSR-AGCM","MIROC-ES2H-NB_atmosChem_CHASER4.0","MIROC-ES2H-NB_land_MATSIRO6","none","MIROC-ES2H-NB_ocean_COCO4.9","none","MIROC-ES2H-NB_seaIce_COCO4.9"
"MIROC-ES2L","MIROC","MIROC-ES2L_aerosol_SPRINTARS6.0","MIROC-ES2L_atmos_CCSR-AGCM","none","MIROC-ES2L_land_MATSIRO6.0_VISIT-e","none","MIROC-ES2L_ocean_COCO4.9","MIROC-ES2L_ocnBgchem_OECO2.0","MIROC-ES2L_seaIce_COCO4.9"
